sales_item_id,sales_id,service_id,quantity,unit_price_at_sale,tax_percentage_at_sale,item_total,currency_id,exchange_rate_to_usd,unit_price_in_brl,unit_price_in_usd,item_total_in_brl,item_total_in_usd,created_at,updated_at,pax,discount_percentage,discount_amount,surcharge_percentage,surcharge_amount,tax_amount,subtotal,tax_percentage,product_id,description,requires_flight_data,requires_driver,requires_vehicle,driver_commission_percentage,driver_commission_fixed_usd
55,33,43,1,400.00,0.00,400.00,1,0.1696,2358.84,400.00,2358.84,400.00,2025-08-06 18:13:41.43493+00,2025-08-06 18:13:41.43493+00,1,0.00,0.00,0.00,0.00,0.00,400.00,0.00,,,false,true,true,0.00,0.00
56,33,,1,22.00,0.00,22.00,1,0.1696,129.74,22.00,129.74,22.00,2025-08-06 18:13:41.504263+00,2025-08-06 18:13:41.504263+00,1,0.00,0.00,0.00,0.00,0.00,22.00,0.00,49,,false,true,true,0.00,0.00
