id,sale_id,sale_item_id,service_id,customer_id,driver_id,car_id,status,priority,scheduled_date,estimated_duration_minutes,actual_start_time,actual_end_time,actual_duration_minutes,pickup_location,dropoff_location,pickup_coordinates,dropoff_coordinates,number_of_passengers,luggage_count,special_instructions,customer_notes,driver_notes,service_value_usd,driver_commission_usd,driver_commission_percentage,whatsapp_message_sent,whatsapp_message_sent_at,whatsapp_message_id,google_calendar_event_id,google_calendar_event_created,google_calendar_event_created_at,customer_rating,customer_feedback,driver_rating,driver_feedback,created_by_user_id,assigned_by_user_id,created_at,updated_at,product_id,product_value_usd,quantity
7,34,57,26,3,,,pending,normal,2025-08-21 15:30:00+00,,,,,,,,,4,0,,,,140.00,21.00,0.00,false,,,,false,,,,,,,,2025-08-14 15:36:22.02212+00,2025-08-14 15:36:22.02212+00,,,
8,34,58,1,3,,,pending,normal,2025-08-22 12:00:00+00,,,,,,,,,4,0,,,,140.00,21.00,15.00,false,,,,false,,,,,,550e8400-e29b-41d4-a716-446655440101,550e8400-e29b-41d4-a716-446655440101,2025-08-15 15:25:25.462334+00,2025-08-15 15:25:25.462334+00,,,
9,35,60,1,38,98,9,pending,normal,2025-08-29 15:27:00+00,,,,,JFK,Hotel ParkLake,,,4,0,,,,140.00,21.00,15.00,false,,,,false,,,,,,550e8400-e29b-41d4-a716-446655440101,550e8400-e29b-41d4-a716-446655440101,2025-08-15 18:27:50.597973+00,2025-08-15 18:27:50.597973+00,,,
25,35,62,,38,,,pending,normal,,,,,,,,,,1,0,,,,0.00,0.00,0.00,false,,,,false,,,,,,550e8400-e29b-41d4-a716-446655440101,550e8400-e29b-41d4-a716-446655440101,2025-08-16 00:08:36.408536+00,2025-08-16 00:08:36.408536+00,3,1360,4
