category_id,name,description,image_url,is_active,created_at,updated_at
1,Broadway,Musicais e shows da Broadway em Nova York,https://<project>.supabase.co/storage/v1/object/public/categorias/broadway.jpg,true,2025-06-27 17:36:35.829543+00,2025-06-27 17:36:35.829543+00
2,Esporte,Eventos esportivos e jogos em Nova York,https://<project>.supabase.co/storage/v1/object/public/categorias/esporte.jpg,true,2025-06-27 17:36:35.829543+00,2025-06-27 17:36:35.829543+00
3,Museu,Museus e exposições de Nova York,https://<project>.supabase.co/storage/v1/object/public/categorias/museu.jpg,true,2025-06-27 17:36:35.829543+00,2025-06-27 17:36:35.829543+00
4,Atração,Atrações turísticas de Nova York,https://<project>.supabase.co/storage/v1/object/public/categorias/atracao.jpg,true,2025-06-27 17:36:35.829543+00,2025-06-27 17:36:35.829543+00
5,Parque,Parques e entretenimento em Nova York,https://<project>.supabase.co/storage/v1/object/public/categorias/parque.jpg,true,2025-06-27 17:36:35.829543+00,2025-06-27 17:36:35.829543+00
